Date,Volume,Guess Volume
2020-11-23,405044000.0,11.397115
2020-11-24,405324000.0,11.420193
2020-11-25,406032000.0,11.473075
2020-11-27,406337000.0,11.497405
2020-11-30,408140000.0,11.624522
2020-12-01,408304000.0,11.636825
2020-12-02,408612000.0,11.662301
2020-12-03,408632000.0,11.666212
2020-12-04,408712000.0,11.673974
2020-12-07,409012100.0,11.696143
2020-12-08,409172000.0,11.70835
2020-12-09,409593000.0,11.73838
2020-12-10,409652000.0,11.746447
2020-12-11,409675000.0,11.7513685
2020-12-14,409884000.0,11.767267
2020-12-15,409939000.0,11.773606
2020-12-16,409992000.0,11.779172
2020-12-17,410015000.0,11.784053
2020-12-18,410061000.0,11.7920885
2020-12-21,410178000.0,11.803208
2020-12-22,410228000.0,11.808282
2020-12-23,410359000.0,11.818147
2020-12-24,410735000.0,11.846634
2020-12-28,411254000.0,11.885145
